Company,Date,Amount Raised,Round,Investor,Description,Lead
Huddle01,2023-04-07,2800000.0,Seed,Hivemind Capital Partners,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,True
Huddle01,2023-04-07,2800000.0,Seed,Superscrypt ,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,False
Huddle01,2023-04-07,2800000.0,Seed,M31 Capital,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,False
Huddle01,2023-04-07,2800000.0,Seed,Protocol Labs,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,False
Huddle01,2023-04-07,2800000.0,Seed,East Ventures,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,False
Huddle01,2023-04-07,2800000.0,Seed,Longhash Ventures,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,False
Huddle01,2023-04-07,2800000.0,Seed,Good News Ventures,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,False
Huddle01,2023-04-07,2800000.0,Seed,Balaji Srinivasan,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,False
Huddle01,2023-04-07,2800000.0,Seed,Stani Kulechov,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,False
Huddle01,2023-04-07,2800000.0,Seed,Dan Romero,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,False
Huddle01,2023-04-07,2800000.0,Seed,Juan Benet,Decentralized infrastructure & network that powers cross-chain audio & video communication between users,False
Lore,2023-04-06,4000000.0,Strategic ,Multicoin Capital,Web3 Co-Ownership Platform,True
Lore,2023-04-06,4000000.0,Strategic ,Seed Club Ventures,Web3 Co-Ownership Platform,False
Lore,2023-04-06,4000000.0,Strategic ,North Island Ventures,Web3 Co-Ownership Platform,False
Lore,2023-04-06,4000000.0,Strategic ,Balaji Srinivasan,Web3 Co-Ownership Platform,False
Lore,2023-04-06,4000000.0,Strategic ,Zeneca,Web3 Co-Ownership Platform,False
Lore,2023-04-06,4000000.0,Strategic ,Mischief Ventures,Web3 Co-Ownership Platform,False
Lore,2023-04-06,4000000.0,Strategic ,Sfermion,Web3 Co-Ownership Platform,False
Lore,2023-04-06,4000000.0,Strategic ,CMT Digital,Web3 Co-Ownership Platform,False
Lore,2023-04-06,4000000.0,Strategic ,Patricio Worthalter,Web3 Co-Ownership Platform,False
Lore,2023-04-06,4000000.0,Strategic ,Spice Capital,Web3 Co-Ownership Platform,False
Lore,2023-04-06,4000000.0,Strategic ,Sublime Venture,Web3 Co-Ownership Platform,False
Steer Protocol,2023-04-06,1500000.0,Seed,Druid Ventures,Off-chain compute protocol,True
Steer Protocol,2023-04-06,1500000.0,Seed,Republic Capital,Off-chain compute protocol,False
Steer Protocol,2023-04-06,1500000.0,Seed,Big Brain Holdings,Off-chain compute protocol,False
Steer Protocol,2023-04-06,1500000.0,Seed,Alpha Crypto,Off-chain compute protocol,False
Steer Protocol,2023-04-06,1500000.0,Seed,BuidlHodl,Off-chain compute protocol,False
Steer Protocol,2023-04-06,1500000.0,Seed,Sushi,Off-chain compute protocol,False
Steer Protocol,2023-04-06,1500000.0,Seed,Middle Class Capital,Off-chain compute protocol,False
Opside,2023-04-06,4000000.0,Seed,Web3.com,Three-layer platform providing ZKRollup as a Service,True
